event_id,issue_code,severity,message
KA_bijapu_1991:2024,cycle_rejected,high,Parent and child are identical (KA_bijapu_1991)
KA_chitra_1951:1961,cycle_rejected,high,Parent and child are identical (KA_chitra_1951)
KA_chitra_1951:1961,duplicate_row,medium,Duplicate lineage row for KA_chitra_1951
KA_kodagu_1971:1981,cycle_rejected,high,Parent and child are identical (KA_kodagu_1971)
KA_dakshi_1971:1991,cycle_rejected,high,Parent and child are identical (KA_dakshi_1971)
KA_dakshi_1971:1991,duplicate_row,medium,Duplicate lineage row for KA_dakshi_1971
KA_dharwa_1971:1981,cycle_rejected,high,Parent and child are identical (KA_dharwa_1971)
KA_dharwa_1971:1981,duplicate_row,medium,Duplicate lineage row for KA_dharwa_1971
KA_dharwa_1971:1981,duplicate_row,medium,Duplicate lineage row for KA_dharwa_1971
KA_uttark_1951:1961,cycle_rejected,high,Parent and child are identical (KA_uttark_1951)
KA_mysuru_1991:2024,cycle_rejected,high,Parent and child are identical (KA_mysuru_1991)
KA_uttark_1951:1981,cycle_rejected,high,Parent and child are identical (KA_uttark_1951)
KA_shivam_2011:2024,cycle_rejected,high,Parent and child are identical (KA_shivam_2011)
KA_dakshi_1971:1981,cycle_rejected,high,Parent and child are identical (KA_dakshi_1971)
KA_dakshi_1971:1981,duplicate_row,medium,Duplicate lineage row for KA_dakshi_1971
KA_tumaku_2011:2024,cycle_rejected,high,Parent and child are identical (KA_tumaku_2011)
KA_uttark_1951:1991,cycle_rejected,high,Parent and child are identical (KA_uttark_1951)
JH_hazari_1971:2011,cycle_rejected,high,Parent and child are identical (JH_hazari_1971)
JH_hazari_1971:1981,cycle_rejected,high,Parent and child are identical (JH_hazari_1971)
JH_hazari_1971:1981,duplicate_row,medium,Duplicate lineage row for JH_hazari_1971
JH_hazari_1971:1981,duplicate_row,medium,Duplicate lineage row for JH_hazari_1971
JH_hazari_1971:1981,duplicate_row,medium,Duplicate lineage row for JH_hazari_1971
JH_hazari_1971:1981,duplicate_row,medium,Duplicate lineage row for JH_giridi_1981
JH_palamu_1971:1981,cycle_rejected,high,Parent and child are identical (JH_palamu_1971)
JH_palamu_1971:1981,duplicate_row,medium,Duplicate lineage row for JH_palamu_1971
JH_palamu_1971:1981,duplicate_row,medium,Duplicate lineage row for JH_palamu_1971
JH_ranchi_1981:1991,duplicate_row,medium,Duplicate lineage row for JH_gumla_1991
JH_santha_1971:1981,cycle_rejected,high,Parent and child are identical (JH_santha_1971)
JH_santha_1971:1981,duplicate_row,medium,Duplicate lineage row for JH_santha_1971
JH_santha_1971:1981,duplicate_row,medium,Duplicate lineage row for JH_santha_1971
JH_santha_1971:1981,duplicate_row,medium,Duplicate lineage row for JH_santha_1971
JH_santha_1971:1981,duplicate_row,medium,Duplicate lineage row for JH_santha_1971
JH_santha_1971:1981,duplicate_row,medium,Duplicate lineage row for JH_santha_1971
JH_santha_1971:1991,duplicate_row,medium,Duplicate lineage row for JH_sahibg_1991
JH_santha_1971:1991,duplicate_row,medium,Duplicate lineage row for JH_dumka_1991
JH_psingh_1981:1991,cycle_rejected,high,Parent and child are identical (JH_psingh_1981)
JH_psingh_1981:1991,duplicate_row,medium,Duplicate lineage row for JH_psingh_1981
JK_baramu_1961:1971,cycle_rejected,high,Parent and child are identical (JK_baramu_1961)
JK_baramu_1961:1971,duplicate_row,medium,Duplicate lineage row for JK_baramu_1961
JK_baramu_1961:1971,duplicate_row,medium,Duplicate lineage row for JK_baramu_1961
JK_baramu_1961:1971,duplicate_row,medium,Duplicate lineage row for JK_baramu_1961
JK_jammua_1951:1961,duplicate_row,medium,Duplicate lineage row for JK_ladakh_1961
JK_jammua_1951:1961,duplicate_row,medium,Duplicate lineage row for JK_poonch_1961
JK_jammua_1951:1961,duplicate_row,medium,Duplicate lineage row for JK_baramu_1961
JK_jammua_1951:1961,duplicate_row,medium,Duplicate lineage row for JK_baramu_1961
JK_jammua_1951:1961,duplicate_row,medium,Duplicate lineage row for JK_srinag_1961
JK_jammua_1951:1961,duplicate_row,medium,Duplicate lineage row for JK_baramu_1961
JK_jammua_1951:1961,duplicate_row,medium,Duplicate lineage row for JK_srinag_1961
JK_jammua_1951:1961,duplicate_row,medium,Duplicate lineage row for JK_srinag_1961
JK_jammua_1951:1961,duplicate_row,medium,Duplicate lineage row for JK_anantn_1961
JK_jammua_1951:1961,duplicate_row,medium,Duplicate lineage row for JK_srinag_1961
JK_jammua_1951:1961,duplicate_row,medium,Duplicate lineage row for JK_doda_1961
JK_jammua_1951:1961,duplicate_row,medium,Duplicate lineage row for JK_doda_1961
