event_id,child_cdk,child_name,metric_basis,weight_value,weight_method,weight_confidence,source_year,basis,is_fallback
KL_malapp_1951:1961,KL_palgha_1961,Palghat,area,0.333333,equal_split_fallback,0.35,1961,equal_split_fallback,True
KL_malapp_1951:1961,KL_palgha_1961,Palghat,production,0.333333,equal_split_fallback,0.35,1961,equal_split_fallback,True
KL_thriss_1951:1961,KL_ernaku_1961,Ernakulam,area,1.0,equal_split_fallback,0.35,1961,equal_split_fallback,True
KL_thriss_1951:1961,KL_ernaku_1961,Ernakulam,production,1.0,equal_split_fallback,0.35,1961,equal_split_fallback,True
MH_satara_1951:1961,MH_sangli_1961,Sangli,area,1.0,equal_split_fallback,0.35,1961,equal_split_fallback,True
MH_satara_1951:1961,MH_sangli_1961,Sangli,production,1.0,equal_split_fallback,0.35,1961,equal_split_fallback,True
MP_bhilsa_1951:1961,MP_vidish_1961,Vidisha,area,1.0,equal_split_fallback,0.35,1961,equal_split_fallback,True
MP_bhilsa_1951:1961,MP_vidish_1961,Vidisha,production,1.0,equal_split_fallback,0.35,1961,equal_split_fallback,True
MP_chhind_1951:1961,MP_seoni_1961,Seoni,area,1.0,equal_split_fallback,0.35,1961,equal_split_fallback,True
MP_chhind_1951:1961,MP_seoni_1961,Seoni,production,1.0,equal_split_fallback,0.35,1961,equal_split_fallback,True
MP_gird_1951:1961,MP_gwalio_1961,Gwalior,area,1.0,equal_split_fallback,0.35,1961,equal_split_fallback,True
MP_gird_1951:1961,MP_gwalio_1961,Gwalior,production,1.0,equal_split_fallback,0.35,1961,equal_split_fallback,True
MP_goona_1951:1961,MP_guna_1961,Guna,area,1.0,equal_split_fallback,0.35,1961,equal_split_fallback,True
MP_goona_1951:1961,MP_guna_1961,Guna,production,1.0,equal_split_fallback,0.35,1961,equal_split_fallback,True
MP_narmad_1951:1961,MP_narsin_1961,Narsimhapur,area,1.0,equal_split_fallback,0.35,1961,equal_split_fallback,True
MP_narmad_1951:1961,MP_narsin_1961,Narsimhapur,production,1.0,equal_split_fallback,0.35,1961,equal_split_fallback,True
MP_nimar_1951:1961,MP_khandw_1961,East Nimar,area,0.5,equal_split_fallback,0.35,1961,equal_split_fallback,True
MP_nimar_1951:1961,MP_khandw_1961,East Nimar,production,0.5,equal_split_fallback,0.35,1961,equal_split_fallback,True
MP_nimar_1951:1961,MP_khargo_1961,Khargone,area,0.5,equal_split_fallback,0.35,1961,equal_split_fallback,True
MP_nimar_1951:1961,MP_khargo_1961,Khargone,production,0.5,equal_split_fallback,0.35,1961,equal_split_fallback,True
MP_sagar_1951:1961,MP_damoh_1961,Damoh,area,1.0,equal_split_fallback,0.35,1961,equal_split_fallback,True
MP_sagar_1951:1961,MP_damoh_1961,Damoh,production,1.0,equal_split_fallback,0.35,1961,equal_split_fallback,True
